ID,TITLE,CONTENTS,DATE,TARGET,LINK,REGION,ASK,CONTACT,ORIGIN,CATEGORY,세로 막대형1
16,대체인력 채용지원서비스,대체인력 채용지원서비스,ALL,청년 | 여성,http://www.work.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
17,임금피크제 지원금,임금피크제 지원금,ALL,중년,http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
18,국가직무능력표준,국가직무능력표준,ALL,모두,http://www.ncs.go.kr,부산광역시,한국산업인력공단 NCS 기획운영단,052-714-8711,부산시청,고용,
19,과정평가형 국가기술자격,과정평가형 국가기술자격,ALL,청년,http://www.ncs.go.kr,부산광역시,한국산업인력공단 NCS 기획운영단,052-714-8711,부산시청,고용,
20,사회공헌활동 지원,사회공헌활동 지원,ALL,중년 | 노인,https://www.busanjob.net/index.php?pCode=1468902594&pg=5,부산광역시,고용노동부,1350,부산시청,고용,
21,숙련기술 장려,숙련기술 장려,ALL,여성 | 중년 | 시니어 | 장애인,?http://www.hrdkorea.or.kr,부산광역시,한국산업인력공단,1644?8000,부산시청,고용,
22,중장년 취업아카데미,중장년 취업아카데미,ALL,중년,http://www.nosa.or.kr,부산광역시,노사발전재단,02-6021-1331,부산시청,고용,
23,중장년 일자리희망센터,중장년 일자리희망센터,ALL,중년,http://www.4060job.or.kr,부산광역시,고용노동부,1350,부산시청,고용,
24,고령자인재은행,고령자인재은행,ALL,중년 | 노인,https://www.busanjob.net/index.php?pCode=1468902594&pg=5,부산광역시,고용노동부,1350,부산시청,고용,
25,장애인 표준사업장 설립 지원,장애인 표준사업장 설립 지원,ALL,장애인,http://www.kead.or.kr,부산광역시,한국장애인고용공단,1588-1519,부산시청,고용,
26,장애인 보조공학기기 지원,장애인 보조공학기기 지원,ALL,장애인,http://www.kead.or.kr,부산광역시,한국장애인고용공단,1588-1519,부산시청,고용,
27,비정규직 차별시정제도,비정규직 차별시정제도,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
28,차별없는 일터 지원단,차별없는 일터 지원단,ALL,모두,http://www.1588-2089.com,부산광역시,노사발전재단,02-6021-1244,부산시청,고용,
29,장애인 근로지원인 제도,장애인 근로지원인 제도,ALL,장애인,?http://www.kead.or.kr,부산광역시,한국장애인고용공단,1588-1519,부산시청,고용,
30,중증장애인지원고용,중증장애인지원고용,ALL,장애인,?http://www.kead.or.kr,부산광역시,한국장애인고용공단,1588-1519,부산시청,고용,
31,임금채권보장제도,임금채권보장제도,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,금융,
32,체당금 조력지원제도,체당금 조력지원제도,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,금융,
33,장애인 직업능력개발 지원,장애인 직업능력개발 지원,ALL,장애인,?http://www.kead.or.kr,부산광역시,한국장애인고용공단,1588-1519,부산시청,고용,
34,중증장애인 인턴제,중증장애인 인턴제,ALL,장애인,?http://www.kead.or.kr,부산광역시,한국장애인고용공단,1588-1519,부산시청,고용,
35,무료법률 구조 지원,무료법률 구조 지원,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,금융,
36,사내근로복지기금제도,사내근로복지기금제도,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,금융,
37,우리사주제도,우리사주제도,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,금융,
38,기업복지제도 도입 지원,기업복지제도 도입 지원,ALL,모두,http://www.workdream.net,부산광역시,근로복지공단,?1588-0075,부산시청,금융,
39,근로자 생활안정자금 대부,근로자 생활안정자금 대부,ALL,모두,http://www.workdream.net,부산광역시,근로복지공단,?1588-0075,부산시청,생활,
40,근로자 신용보증 지원제도,근로자 신용보증 지원제도,ALL,모두,http://www.workdream.net,부산광역시,근로복지공단,?1588-0075,부산시청,금융,
41,고용복지+센터,고용복지+센터,ALL,모두,www.workplus.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
42,구직자 취업지원서비스,구직자 취업지원서비스,ALL,모두,www.work.go.kr/jobcenter,부산광역시,고용노동부,1350,부산시청,고용,
43,취업성공패키지,취업성공패키지,ALL,모두,www.work.go.kr/jobcenter,부산광역시,고용노동부,1350,부산시청,고용,
44,산재근로자 직업훈련,산재근로자 직업훈련,ALL,장애인,http://www.kcomwel.or.kr,부산광역시,근로복지공단,1588-0075,부산시청,고용,
45,산재근로자 창업지원사업,산재근로자 창업지원사업,ALL,모두,http://www.kcomwel.or.kr,부산광역시,근로복지공단,1588-0075,부산시청,고용,
46,산재근로자 및 자녀 장학사업,산재근로자 및 자녀 장학사업,ALL,모두,http://www.kcomwel.or.kr,부산광역시,근로복지공단,1588-0075,부산시청,금융,
47,산재근로자 생활안정자금 융자,산재근로자 생활안정자금 융자,ALL,모두,http://www.kcomwel.or.kr,부산광역시,근로복지공단,1588-0075,부산시청,금융,
48,진폐근로자 건강진단,진폐근로자 건강진단,ALL,모두,http://www.kcomwel.or.kr,부산광역시,근로복지공단,1588-0075,부산시청,의료,
49,진폐위로금 지급,진폐위로금 지급,ALL,모두,http://www.kcomwel.or.kr,부산광역시,근로복지공단,1588-0075,부산시청,금융,
50,사회적기업가 육성,사회적기업가 육성,ALL,청년,www.socialenterprise.or.kr,부산광역시,한국사회적기업진흥원,031-697-7700,부산시청,고용,
51,근로시간 면제제도,근로시간 면제제도,ALL,모두,www.reis.or.kr,부산광역시,고용노동부 지역산업고용정책과,044-202-7411,부산시청,고용,
52,복수노조 교섭창구 단일화,복수노조 교섭창구 단일화,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
53,노동쟁의 조정,노동쟁의 조정,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
54,노사협의회,노사협의회,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
55,노사관계 전문가 육성 지원,노사관계 전문가 육성 지원,ALL,모두,http://www.nosa.or.kr,부산광역시,노사발전재단,02-6021-1056,부산시청,고용,
56,구직급여ㆍ연장급여,구직급여ㆍ연장급여,ALL,모두,http://www.ei.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
57,취업촉진수당,취업촉진수당,ALL,모두,http://www.ei.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
58,"창업 활성화 지원(9년차도, 부산창업지원센터)","창업 활성화 지원(9년차도, 부산창업지원센터)",2019-05-00,청년 | 여성 | 중년,http://www.bschangup.kr,부산광역시,부산광역시 창업지원과,051-888-6752,부산시청,고용,
59,재창업 지원,청년의 재창업을 지원하는 프로그램입니다.,2019-05-00,청년,http://www.bschangup.kr,부산광역시,부산창업지원센터,051-628-7951,부산시청,고용,
60,부산창업카페 운영,부산창업카페 운영,ALL,청년 | 중년,http://www.bschangup.kr,부산광역시,부산창업지원센터,051-803-9950,부산시청,고용,
61,금융관련 대학동아리 지원,금융관련 대학동아리 지원,ALL,청년,http://www.bifc.kr,부산광역시,부산국제금융도시추진센터,051-888-6901,부산시청,고용,
62,신발산업 인력양성,신발산업 인력양성,ALL,청년 | 중년,https://www.busanjob.net/index.php?pCode=1468902594&pg=14,부산광역시,부산광역시 기간산업과,051-888-4625,부산시청,고용,
63,산업단지 통근버스 운행,산업단지 통근버스 운행,ALL,모두,https://www.busanjob.net/index.php?pCode=1468902594&pg=14,부산광역시,중소상공인지원센터,1577-0062,부산시청,생활,
64,바이오기업 전문인력 양성,바이오기업 전문인력 양성,ALL,청년 | 중년,https://www.busanjob.net/index.php?pCode=1468902594&pg=14,부산광역시,부산광역시 의료산업과,051-888-3494,부산시청,고용,
65,조선기자재 교육훈련센터 운영,조선기자재 교육훈련센터 운영,ALL,청년 | 중년,https://www.busanjob.net/index.php?pCode=1468902594&pg=15,부산광역시,부산광역시 기간산업과,051-888-4411,부산시청,고용,
66,일자리박람회 개최,일자리박람회 개최,ALL,청년,http://www.busanjob.net,부산광역시,부산광역시 일자리창출과,051-888-4653,부산시청,고용,
67,글로벌 IT산업 전문인력 양성,글로벌 IT산업 전문인력 양성,ALL,청년 | 중년,https://www.busanjob.net/index.php?pCode=1468902594&pg=14,부산광역시,부산광역시 ICT융합과,051-888-4556,부산시청,고용,
68,임금체불 청산 지원 사업주 융자제도,임금체불 청산 지원 사업주 융자제도,ALL,모두,?http://www.moel.go.kr,부산광역시,고용노동부,1350,부산시청,금융,
69,갈매기 SW창업사관학교 운영,갈매기 SW창업사관학교 운영,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=15,부산광역시,부산광역시 ICT융합과,051-888-4555,부산시청,고용,
70,센텀 SW아카데미 운영,센텀 SW아카데미 운영,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=15,부산광역시,부산광역시 ICT융합과,051-888-4559,부산시청,고용,
71,창업 단비 프로젝트 운영,창업 단비 프로젝트 운영,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=15,부산광역시,부산광역시 ICT융합과,051-888-4559,부산시청,고용,
72,BusanSW.Net 운영,BusanSW.Net 운영,ALL,청년 | 중년,https://www.busanjob.net/index.php?pCode=1468902594&pg=15,부산광역시,부산광역시 ICT융합과,051-888-4559,부산시청,고용,
73,센텀기술 창업타운(CENTAP),센텀기술 창업타운(CENTAP),ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=15,부산광역시,부산광역시 창업지원과,051-888-6762 ,부산시청,고용,
74,문화예술 크리에이티브 플랫폼 구축을 통한 청년 일자리 창출,문화예술 크리에이티브 플랫폼 구축을 통한 청년 일자리 창출,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=16,부산광역시,부산지역인적자원개발위원회,?051-990-7157,부산시청,문화,
75,부산형 히든 챔피언 육성을 위한 R&D 고급인력 지원,부산형 히든 챔피언 육성을 위한 R&D 고급인력 지원,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=16,부산광역시,부산테크노파크,051-320-3524,부산시청,고용,
76,교육희망 청년멘토 지원,교육희망 청년멘토 지원,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=16,부산광역시,부산행복한학교,051-911-5162,부산시청,고용,
77,전통시장(상가) 청년기업 문화점포 육성,전통시장(상가) 청년기업 문화점포 육성,ALL,청년,http://www.bepa.kr/kor/,부산광역시,부산경제진흥원,1577-0062,부산시청,고용,
78,푸드트럭 청년 창업 지원,푸드트럭 청년 창업 지원,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=16,부산광역시,부산경제진흥원,051-629-7964,부산시청,고용,
79,청년·훈련생 일자리 미스매치 해소,청년·훈련생 일자리 미스매치 해소,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=16,부산광역시,부산경영자총협회,051-647-0441,부산시청,고용,
80,고용위기 극복을 위한 일자리 창출 지원,고용위기 극복을 위한 일자리 창출 지원,ALL,청년 | 중년,https://www.busanjob.net/index.php?pCode=1468902594&pg=16,부산광역시,부산상공회의소?,051-990-7145,부산시청,고용,
81,"직업적성, 직업가치관 검사","직업적성, 직업가치관 검사",ALL,모두,http://www.work.go.kr/consltJobCarpa/jobPsyExam/jobPsyExamIntro.do,부산광역시,한국고용정보원,1577-7114,부산시청,고용,
82,찾아가는 청년버스,찾아가는 청년버스,ALL,청년,https://www.young.go.kr/#!/theme/152,부산광역시,청년위원회 인재양성부,02-397-5061,부산시청,고용,
83,청년강소기업 체험 및 탐방,청년강소기업 체험 및 탐방,ALL,청년,http://www.work.go.kr/experi/pgm/pgmJobEmpList.do,부산광역시,,,부산시청,고용,
84,기술·기능인력양성,기술·기능인력양성,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=17,부산광역시,,044-202-7274,부산시청,고용,
85,공공기관채용형인턴제,공공기관채용형인턴제,ALL,청년 | 여성 | 중년 | 장애인,http://job.alio.go.kr/recruit.do,부산광역시,JOB-ALIO,,부산시청,고용,
86,국가근로장학사업,국가근로장학사업,ALL,청년 | 장애인,http://www.kosaf.go.kr/,부산광역시,대학장학과,044-203-6268,부산시청,생활,
87,문화예술기관 연수단원지원,문화예술기관 연수단원지원,ALL,청년,http://www.arko.or.kr/,부산광역시,한국문화예술위원회 창의예술인력센터,02-760-4646,부산시청,문화,
88,이공계인턴십,이공계인턴십,ALL,청년,http://www.nst.re.kr,부산광역시,국가과학기술연구회,044-287-7336,부산시청,고용,
89,이공계 전문기술 연수사업,이공계 전문기술 연수사업,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=18,부산광역시,한국산업기술진흥협회 이공계인력중개센터,02-3460-9080?,부산시청,고용,
90,취업성공패키지,취업성공패키지,ALL,청년 | 여성 | 중년 | 장애인,http://www.work.go.kr/pkg,부산광역시,고용노동부?,1350,부산시청,고용,
91,중소기업 취업전제 희망사다리 장학금사업,중소기업 취업전제 희망사다리 장학금사업,ALL,청년,http://www.kosaf.go.kr,부산광역시,한국장학재단,1599-2290,부산시청,고용,
92,창업인턴제,창업인턴제,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=18,부산광역시,창업진흥원,042-480-4462,부산시청,고용,
93,대학생 창업아카데미,대학생 창업아카데미,ALL,청년,?http://www.k-startup.go.kr,부산광역시,중소기업청 지식서비스창업과,042-481-3960,부산시청,고용,
94,청년창업사관학교,청년창업사관학교,ALL,청년,http://www.k-startup.go.kr,부산광역시,청년창업사관학교,031-490-1278?,부산시청,고용,
95,창업보육센터,창업보육센터,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=18,부산광역시,부산광역시 창업지원과,051-888-6751,부산시청,고용,
96,창조경제혁신센터 운영,창조경제혁신센터 운영,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=19,부산광역시,부산광역시 창업지원과,051-888-6754,부산시청,고용,
97,해외취업지원,해외취업지원,ALL,청년,www.worldjob.or.kr,부산광역시,한국산업인력공단,1577-9997,부산시청,고용,
98,한-미 대학생 취업 연수(WEST) 프로그램,한-미 대학생 취업 연수(WEST) 프로그램,ALL,청년,http://www.worldjob.or.kr,부산광역시,월드잡플러스,,부산시청,고용,
99,창업선도대학육성,창업선도대학육성,ALL,청년 | 중년,http://www.k-startup.go.kr,부산광역시,창업진흥원 대학창업부,042-480-4353,부산시청,고용,
100,스마트벤처창업학교,스마트벤처창업학교,ALL,청년,http://www.k-startup.go.kr,부산광역시,부산광역시 ICT융합과,051-888-4595,부산시청,고용,
101,스펙초월 멘토스쿨,스펙초월 멘토스쿨,ALL,청년,http://www.work.go.kr/jobyoung/empPolicyGuide/empPolicyGuideAblity02.do?srchYn=&edubg=&empStatus,부산광역시,고용노동부 청년취업지원과,1350,부산시청,고용,
102,일?가정양립 지원,일?가정양립 지원,ALL,여성,http://www.wlb.or.kr,부산광역시,부산여성가족개발원 일가정양립지원센터,051-330-3434,부산시청,금융,
103,청년내일채움공제,청년내일채움공제,ALL,청년,https://www.work.go.kr/youngtomorrow,부산광역시,고용노동부,1350,부산시청,고용,
104,부산형 청년내일채움공제,부산형 청년내일채움공제,ALL,청년,http://www.work.go.kr/intern,부산광역시,부산광역시 일자리창출과,051-888-4434,부산시청,고용,
105,일자리(취업)지원센터 운영,일자리(취업)지원센터 운영,ALL,모두,http://www.busanjob.net,부산광역시,부산광역시 일자리창출과,051-888-4411,부산시청,고용,
106,대학 창업동아리 지원,대학 창업동아리 지원,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=20,부산광역시,부산광역시 일자리창출과,051-888-6854,부산시청,금융,
107,부산 콘텐츠코리아 랩 운영,부산 콘텐츠코리아 랩 운영,ALL,청년 | 중년,https://www.busanjob.net/index.php?pCode=1468902594&pg=20,부산광역시,부산광역시 영상콘텐츠산업과,051-888-5151,부산시청,고용,
108,부산콘텐츠아카데미 운영,부산콘텐츠아카데미 운영,ALL,청년 | 중년,https://www.busanjob.net/index.php?pCode=1468902594&pg=20,부산광역시,부산광역시 영상콘텐츠산업과,051-888-5151,부산시청,고용,
109,부산형 해외취업지원,부산형 해외취업지원,ALL,청년,http://www.bsef.or.kr,부산광역시,부산상공회의소,051-647-0454,부산시청,고용,
110,부산시 대체인력 지원사업,부산시 대체인력 지원사업,ALL,여성,http://www.bwf.re.kr,부산광역시,부산여성가족개발원 대체인력 사무국,051-330-3420,부산시청,고용,
111,굿알바(아르바이트 근로조건 인식개선)사업,굿알바(아르바이트 근로조건 인식개선)사업,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=21,부산광역시,부산광역시 일자리창출과,051-888-4431,부산시청,고용,
112,부산청년두드림,부산청년두드림,ALL,청년,http://busandodream.kr,부산광역시,청년두드림,051-816-4600,부산시청,고용,
113,드림옷장,드림옷장,ALL,청년,http://www.busanjob.net,부산광역시,일자리창출과,051-888-4431,부산시청,고용,
114,근로장려금,근로장려금,ALL,중년,https://hometax.go.kr,부산광역시,국세청,1544-9944,부산시청,고용,
115,자녀장려금,자녀장려금,ALL,여성 | 중년,https://hometax.go.kr,부산광역시,국세청,1544-9944,부산시청,금융,
116,"지역애(愛) 청년내일, 지역주도형 청년일자리 사업","지역애(愛) 청년내일, 지역주도형 청년일자리 사업",ALL,청년,http://www.busanjob.net/index.php?pCode=1467596856&mode=view&idx=6540,부산광역시,부산시,1688-0019,부산시청,고용,
